Market trend,top 0 to 10% Return,top 10 to 20% Return,top 20 to 30% Return,top 30 to 40% Return,top 40 to 50% Return,top 50 to 60% Return,top 60 to 70% Return,top 70 to 80% Return,top 80 to 90% Return,top 90 to 100% Return
1,1,1,1,1,1,1,1,1,1,1
0.999551618,1,1,1,1,1,1,1,1,1,1
0.992483925,1,1,1,1,1,1,1,1,1,1
0.999591644,1,1,1,1,1,1,1,1,1,1
0.990104182,1,1,1,1,1,1,1,1,1,1
0.996653599,1,1,1,1,1,1,1,1,1,1
0.991560738,1,1,1,1,1,1,1,1,1,1
0.99562648,1,1,1,1,1,1,1,1,1,1
0.98923974,1,1,1,1,1,1,1,1,1,1
0.990747834,1,1,1,1,1,1,1,1,1,1
0.995228341,1,1,1,1,1,1,1,1,1,1
0.994575255,1,1,1,1,1,1,1,1,1,1
0.99431188,1,1,1,1,1,1,1,1,1,1
0.988383575,1,1,1,1,1,1,1,1,1,1
0.985217501,1,1,1,1,1,1,1,1,1,1
0.988892582,1,1,1,1,1,1,1,1,1,1
0.979745793,1,1,1,1,1,1,1,1,1,1
0.983093865,1,1,1,1,1,1,1,1,1,1
0.97530969,1,1,1,1,1,1,1,1,1,1
0.978624568,1,1,1,1,1,1,1,1,1,1
0.978886858,1.0000432,1.0002818,1.0001222,0.9998258,1.0000768,0.9998924,1.0001726,0.9987358,1.00069,1.0002778
0.981707384,1.0047652,1.0031896,1.003878,1.0066474,1.004072,1.002761,1.0042094,0.9986422,1.0053322,1.0066178
0.991032515,1.008121,1.0072466,1.011021,1.012963,1.0134252,1.0144216,1.0125588,1.006882,1.013245,1.0152856
0.987994916,1.007964,1.0081272,1.008289,1.0129912,1.0100692,1.0125312,1.0108278,1.0048688,1.0093748,1.012675
0.981626625,1.0030088,1.0039396,1.0002834,1.0048086,1.001847,1.0024252,1.0031006,0.9926996,1.0024834,1.0040228
0.950883161,0.9779888,0.9771864,0.966183,0.9761472,0.971354,0.9614134,0.968824,0.9581196,0.9796586,0.9787988
0.956048189,0.9793302,0.981843,0.9714104,0.9793658,0.9767448,0.9683088,0.9748498,0.9660882,0.9822746,0.9816376
